Date,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
2024-06-19,ICICIBANK,EQ,1122.85,1127.95,1165.55,1126.15,1144.4,1144.45,1145.3,34309514.0,39294754455.05,411691.0,"1,31,23,207",38.25
2024-06-20,ICICIBANK,EQ,1144.45,1154.05,1160.0,1135.5,1156.6,1156.8,1148.53,15475933.0,17774609753.75,290565.0,"83,78,463",54.14
2024-06-21,ICICIBANK,EQ,1156.8,1163.55,1169.9,1150.65,1157.5,1158.65,1158.43,69259425.0,80232244391.8,364312.0,"4,53,43,258",65.47
2024-06-24,ICICIBANK,EQ,1158.65,1154.65,1175.65,1152.65,1169.5,1170.1,1167.04,12210295.0,14249961881.65,334746.0,"57,27,261",46.91
2024-06-25,ICICIBANK,EQ,1170.1,1170.25,1206.0,1167.65,1204.0,1197.95,1189.12,27309845.0,32474729413.3,340752.0,"1,06,98,273",39.17
2024-06-26,ICICIBANK,EQ,1197.95,1202.0,1222.85,1193.85,1211.0,1218.0,1213.68,25403461.0,30831720749.55,338144.0,"1,20,22,888",47.33
2024-06-27,ICICIBANK,EQ,1218.0,1228.35,1235.0,1209.1,1216.5,1219.9,1223.4,20516632.0,25100065333.5,333951.0,"1,02,72,054",50.07
2024-06-28,ICICIBANK,EQ,1219.9,1227.0,1227.0,1196.35,1197.25,1199.6,1205.22,12507092.0,15073852025.65,239920.0,"69,47,558",55.55
2024-07-01,ICICIBANK,EQ,1199.6,1199.6,1215.35,1192.05,1208.05,1211.85,1207.5,8636894.0,10429024972.3,216109.0,"45,44,835",52.62
2024-07-02,ICICIBANK,EQ,1211.85,1217.0,1217.0,1185.55,1191.9,1190.6,1194.64,16153925.0,19298185249.15,288672.0,"71,37,154",44.18
2024-07-03,ICICIBANK,EQ,1190.6,1196.85,1215.85,1179.45,1200.0,1201.6,1201.88,22330897.0,26839117475.35,322655.0,"60,91,710",27.28
2024-07-04,ICICIBANK,EQ,1201.6,1229.0,1234.95,1214.3,1231.95,1233.0,1226.12,15275791.0,18729947538.2,352519.0,"88,14,442",57.7
2024-07-05,ICICIBANK,EQ,1233.0,1225.0,1242.6,1220.85,1231.85,1233.4,1230.96,9535575.0,11737894586.9,222003.0,"42,73,527",44.82
2024-07-08,ICICIBANK,EQ,1233.4,1228.9,1239.5,1216.9,1237.0,1235.05,1232.84,6617190.0,8157945587.7,141803.0,"38,01,598",57.45
2024-07-09,ICICIBANK,EQ,1235.05,1234.95,1250.2,1229.3,1245.75,1248.25,1242.29,13366874.0,16605489307.5,225750.0,"76,05,247",56.9
2024-07-10,ICICIBANK,EQ,1248.25,1252.75,1252.75,1236.35,1242.0,1243.2,1243.64,18226503.0,22667118261.75,237867.0,"91,00,069",49.93
2024-07-11,ICICIBANK,EQ,1243.2,1246.35,1257.8,1225.05,1240.0,1238.45,1238.32,11307116.0,14001786280.2,254070.0,"60,90,422",53.86
2024-07-12,ICICIBANK,EQ,1238.45,1235.9,1252.9,1230.1,1234.5,1232.9,1238.33,12208290.0,15117865256.9,270991.0,"60,08,473",49.22
2024-07-15,ICICIBANK,EQ,1232.9,1233.1,1238.45,1224.05,1231.0,1229.95,1231.32,15612671.0,19224214819.8,425864.0,"76,08,509",48.73
2024-07-16,ICICIBANK,EQ,1229.95,1230.0,1245.0,1229.0,1238.65,1239.9,1239.36,12320605.0,15269644738.05,234578.0,"64,77,523",52.57
2024-07-17,ICICIBANK,EQ,1229.95,1230.0,1245.0,1229.0,1238.65,1239.9,1239.36,12320605.0,15269644738.05,234578.0,"64,77,523",52.57
2024-07-18,ICICIBANK,EQ,1239.9,1234.9,1256.45,1231.7,1248.85,1250.3,1246.19,10999632.0,13707637498.2,260080.0,"58,09,291",52.81
2024-07-19,ICICIBANK,EQ,1250.3,1244.0,1250.5,1240.25,1249.65,1248.65,1246.51,7958817.0,9920755411.1,166403.0,"46,67,555",58.65
2024-07-22,ICICIBANK,EQ,1248.65,1240.0,1245.3,1232.9,1243.0,1241.15,1239.95,9958965.0,12348652027.55,212302.0,"61,23,697",61.49
